FID,ID,SITE_NAME,DATE, pH continuous 0475 (pH units),Conductivity 25C continuous 0473 (uS/cm),Oxygen,Temperature,Battery (vol)
29033,S1,Swale at Catterick Bridge,27/06/1995 11:00,8.27,411,102.2,16.8,13
29033,S1,Swale at Catterick Bridge,27/06/1995 11:30,8.31,412,105.8,17.2,13
29033,S1,Swale at Catterick Bridge,27/06/1995 12:00,8.34,413,107,17.5,13
29033,S1,Swale at Catterick Bridge,27/06/1995 12:30,8.36,414,108.7,17.9,13
29033,S1,Swale at Catterick Bridge,27/06/1995 13:00,8.39,416,110.2,18.3,13
29033,S1,Swale at Catterick Bridge,27/06/1995 13:30,8.41,417,112.5,18.6,13
29033,S1,Swale at Catterick Bridge,27/06/1995 14:00,8.44,419,112.6,19,13
29033,S1,Swale at Catterick Bridge,27/06/1995 14:30,8.46,418,114.4,19.3,13
29033,S1,Swale at Catterick Bridge,27/06/1995 15:00,8.48,417,114.3,19.6,13
29033,S1,Swale at Catterick Bridge,27/06/1995 15:30,8.5,417,115.5,19.9,13
29033,S1,Swale at Catterick Bridge,27/06/1995 16:00,8.52,416,115.3,20.1,13
29033,S1,Swale at Catterick Bridge,27/06/1995 16:30,8.52,414,114.3,20.3,13
29033,S1,Swale at Catterick Bridge,27/06/1995 17:00,8.53,414,113.7,20.4,13
29033,S1,Swale at Catterick Bridge,27/06/1995 17:30,8.54,414,113.4,20.4,13
29033,S1,Swale at Catterick Bridge,27/06/1995 18:00,8.54,413,111.3,20.4,13
29033,S1,Swale at Catterick Bridge,27/06/1995 18:30,8.54,413,108.3,20.3,13
29033,S1,Swale at Catterick Bridge,27/06/1995 19:00,8.53,412,105.8,20,13
29033,S1,Swale at Catterick Bridge,27/06/1995 19:30,8.5,413,100.6,19.8,13
29033,S1,Swale at Catterick Bridge,27/06/1995 20:00,8.48,414,97.1,19.6,13
29033,S1,Swale at Catterick Bridge,27/06/1995 20:30,8.44,416,93.5,19.3,13
29033,S1,Swale at Catterick Bridge,27/06/1995 21:00,8.4,416,90.7,19,13
29033,S1,Swale at Catterick Bridge,27/06/1995 21:30,8.37,417,87.4,18.8,13
